,sepal length,sepal width,petal length,petal width,iris,,,sepal length,,a
0.027296888,5.2,2.7,3.9,1.4,Iris-versicolor,,,,,
0.755203535,7.3,2.9,6.3,1.8,Iris-virginica,,,,,
0.728823506,4.8,3.1,1.6,0.2,Iris-setosa,,,,,
0.33219716,6.7,3.1,4.4,1.4,Iris-versicolor,,,,,
0.448911095,5.7,2.6,3.5,1,Iris-versicolor,,,,,
0.895069553,6.6,2.9,4.6,1.3,Iris-versicolor,,,,,
0.109521919,6.7,3.3,5.7,2.5,Iris-virginica,,,,,
0.744863379,4.9,3.1,1.5,0.1,Iris-setosa,,,,,
0.732386423,7.7,3,6.1,2.3,Iris-virginica,,,,,
0.352527682,6.1,2.8,4,1.3,Iris-versicolor,,,,,
0.462921497,5.1,3.8,1.6,0.2,Iris-setosa,,,,,
0.473350819,6.1,3,4.9,1.8,Iris-virginica,,,,,
0.251354412,4.9,3,1.4,0.2,Iris-setosa,,,,,
0.659617985,5.1,3.5,1.4,0.3,Iris-setosa,,,,,
0.314639978,7.4,2.8,6.1,1.9,Iris-virginica,,,,,
0.117112185,7.7,3.8,6.7,2.2,Iris-virginica,,,,,
0.664438198,6.4,2.7,5.3,1.9,Iris-virginica,,,,,
0.531004743,5.5,2.5,4,1.3,Iris-versicolor,,,,,
0.481985776,6,2.2,4,1,Iris-versicolor,,,,,
0.215346391,4.4,3,1.3,0.2,Iris-setosa,,,,,
0.54046595,6.3,3.4,5.6,2.4,Iris-virginica,,,,,
0.568637323,6.3,2.5,5,1.9,Iris-virginica,,,,,
0.227577025,5,3.4,1.5,0.2,Iris-setosa,,,,,
0.983837453,7.9,3.8,6.4,2,Iris-virginica,,,,,
0.59525516,6.4,3.2,4.5,1.5,Iris-versicolor,,,,,
0.063823456,5.2,3.5,1.5,0.2,Iris-setosa,,,,,
0.07101586,6.8,2.8,4.8,1.4,Iris-versicolor,,,,,
0.841097449,5.4,3,4.5,1.5,Iris-versicolor,,,,,
0.978269395,6.5,3,5.8,2.2,Iris-virginica,,,,,
0.152344473,5,3.3,1.4,0.2,Iris-setosa,,,,,
0.140611414,4.9,3.1,1.5,0.1,Iris-setosa,,,,,
0.485863247,5,3.5,1.3,0.3,Iris-setosa,,,,,
0.721783138,4.6,3.4,1.4,0.3,Iris-setosa,,,,,
0.800706434,6.7,3,5,1.7,Iris-versicolor,,,,,
0.165446189,4.9,2.5,4.5,1.7,Iris-virginica,,,,,
0.817909502,5.6,2.9,3.6,1.3,Iris-versicolor,,,,,
0.668556012,5.3,3.7,1.5,0.2,Iris-setosa,,,,,
0.362287842,5.5,2.3,4,1.3,Iris-versicolor,,,,,
0.498280877,6.2,2.9,4.3,1.3,Iris-versicolor,,,,,
0.795361886,5.1,3.3,1.7,0.5,Iris-setosa,,,,,
0.197928351,4.8,3.4,1.9,0.2,Iris-setosa,,,,,
0.210760806,5.8,2.7,3.9,1.2,Iris-versicolor,,,,,
0.94173357,5.6,3,4.5,1.5,Iris-versicolor,,,,,
0.511153443,5.8,2.7,5.1,1.9,Iris-virginica,,,,,
0.787691037,5.1,3.8,1.9,0.4,Iris-setosa,,,,,
0.750326978,5,3.4,1.6,0.4,Iris-setosa,,,,,
0.131064,5.1,3.4,1.5,0.2,Iris-setosa,,,,,
0.894226622,5.5,2.4,3.8,1.1,Iris-versicolor,,,,,
0.695666283,5.6,2.8,4.9,2,Iris-virginica,,,,,
0.134677356,4.8,3.4,1.6,0.2,Iris-setosa,,,,,
0.581301057,5.9,3,5.1,1.8,Iris-virginica,,,,,
0.940765942,6.2,3.4,5.4,2.3,Iris-virginica,,,,,
0.902184725,6.4,3.1,5.5,1.8,Iris-virginica,,,,,
0.160749443,7.2,3.2,6,1.8,Iris-virginica,,,,,
0.992833289,5.2,3.4,1.4,0.2,Iris-setosa,,,,,
0.902289518,7.7,2.8,6.7,2,Iris-virginica,,,,,
0.770884985,6.6,3,4.4,1.4,Iris-versicolor,,,,,
0.136125359,6.5,3,5.2,2,Iris-virginica,,,,,
0.203664455,5.7,4.4,1.5,0.4,Iris-setosa,,,,,
0.671749838,5.4,3.4,1.5,0.4,Iris-setosa,,,,,
0.110622346,7.1,3,5.9,2.1,Iris-virginica,,,,,
0.258073432,5,3.6,1.4,0.2,Iris-setosa,,,,,
0.087725697,5.9,3,4.2,1.5,Iris-versicolor,,,,,
0.355168023,4.7,3.2,1.6,0.2,Iris-setosa,,,,,
0.940758845,7.7,2.6,6.9,2.3,Iris-virginica,,,,,
0.171611957,4.3,3,1.1,0.1,Iris-setosa,,,,,
0.819523827,6.7,3.1,5.6,2.4,Iris-virginica,,,,,
0.069157368,6.3,2.5,4.9,1.5,Iris-versicolor,,,,,
0.320544358,5.7,3,4.2,1.2,Iris-versicolor,,,,,
0.457896518,6.1,2.9,4.7,1.4,Iris-versicolor,,,,,
0.02266295,6.1,3,4.6,1.4,Iris-versicolor,,,,,
0.47196088,5.1,2.5,3,1.1,Iris-versicolor,,,,,
0.484137569,5.7,2.5,5,2,Iris-virginica,,,,,
0.353865673,6.3,2.7,4.9,1.8,Iris-virginica,,,,,
0.874414966,6.1,2.6,5.6,1.4,Iris-virginica,,,,,
0.750261921,4.8,3,1.4,0.1,Iris-setosa,,,,,
0.909554992,6.7,3.1,4.7,1.5,Iris-versicolor,,,,,
0.177810915,6.3,3.3,4.7,1.6,Iris-versicolor,,,,,
0.476675904,6.7,3.3,5.7,2.1,Iris-virginica,,,,,
0.622488622,6.9,3.2,5.7,2.3,Iris-virginica,,,,,
0.442474929,5,3.5,1.6,0.6,Iris-setosa,,,,,
0.922351647,5.6,2.7,4.2,1.3,Iris-versicolor,,,,,
0.09193771,5.4,3.9,1.3,0.4,Iris-setosa,,,,,
0.083664298,5.5,4.2,1.4,0.2,Iris-setosa,,,,,
0.821844982,4.5,2.3,1.3,0.3,Iris-setosa,,,,,
0.87456977,6.3,3.3,6,2.5,Iris-virginica,,,,,
0.648199208,6.1,2.8,4.7,1.2,Iris-versicolor,,,,,
0.817995545,6,2.9,4.5,1.5,Iris-versicolor,,,,,
0.886933835,7.2,3,5.8,1.6,Iris-virginica,,,,,
0.538474987,7.6,3,6.6,2.1,Iris-virginica,,,,,
0.472986437,6.5,3.2,5.1,2,Iris-virginica,,,,,
0.305979081,6.4,3.2,5.3,2.3,Iris-virginica,,,,,
0.899124142,5.6,3,4.1,1.3,Iris-versicolor,,,,,
0.548488451,5.5,2.6,4.4,1.2,Iris-versicolor,,,,,
0.642274881,6.3,2.9,5.6,1.8,Iris-virginica,,,,,
0.061708924,5.4,3.4,1.7,0.2,Iris-setosa,,,,,
0.532906457,5.1,3.8,1.5,0.3,Iris-setosa,,,,,
0.46759117,4.6,3.2,1.4,0.2,Iris-setosa,,,,,
